K,x,t,v,,
2.657,2.4410,61,0.0058,2023-11-24,2024/1/24
2.657,2.4280,58,0.0063,2023-11-27,2024/1/24
2.657,2.4070,57,0.0046,2023-11-28,2024/1/24
2.657,2.4060,56,0.0045,2023-11-29,2024/1/24
2.657,2.3950,55,0.0039,2023-11-30,2024/1/24
2.657,2.4010,54,0.0037,2023-12-01,2024/1/24
2.657,2.3850,51,0.0035,2023-12-04,2024/1/24
2.657,2.3670,50,0.0030,2023-12-05,2024/1/24
2.657,2.3190,49,0.0021,2023-12-06,2024/1/24
2.657,2.3170,48,0.0018,2023-12-07,2024/1/24
2.657,2.3070,47,0.0017,2023-12-08,2024/1/24
2.657,2.3140,44,0.0016,2023-12-11,2024/1/24
2.657,2.3240,43,0.0023,2023-12-12,2024/1/24
2.657,2.3370,42,0.0023,2023-12-13,2024/1/24
2.657,2.2910,41,0.0019,2023-12-14,2024/1/24
2.657,2.2800,40,0.0016,2023-12-15,2024/1/24
2.657,2.2810,37,0.0013,2023-12-18,2024/1/24
2.657,2.2830,36,0.0014,2023-12-19,2024/1/24
2.657,2.2860,35,0.0013,2023-12-20,2024/1/24
2.657,2.2730,34,0.0010,2023-12-21,2024/1/24
2.657,2.2990,33,0.0016,2023-12-22,2024/1/24
2.657,2.3070,30,0.0013,2023-12-25,2024/1/24
2.657,2.3080,29,0.0009,2023-12-26,2024/1/24
2.657,2.2990,28,0.0006,2023-12-27,2024/1/24
2.657,2.3020,27,0.0007,2023-12-28,2024/1/24
2.657,2.3540,26,0.0010,2023-12-29,2024/1/24
2.657,2.3550,22,0.0009,2024-01-02,2024/1/24
2.657,2.3270,21,0.0005,2024-01-03,2024/1/24
2.657,2.3320,20,0.0005,2024-01-04,2024/1/24
2.657,2.3140,19,0.0004,2024-01-05,2024/1/24
2.657,2.3030,16,0.0003,2024-01-08,2024/1/24
2.657,2.2780,15,0.0003,2024-01-09,2024/1/24
2.657,2.2800,14,0.0003,2024-01-10,2024/1/24
2.657,2.2700,13,0.0003,2024-01-11,2024/1/24
2.657,2.2750,12,0.0003,2024-01-12,2024/1/24
2.657,2.2720,9,0.0002,2024-01-15,2024/1/24
2.657,2.2720,8,0.0002,2024-01-16,2024/1/24
2.657,2.2840,7,0.0001,2024-01-17,2024/1/24
2.657,2.2340,6,0.0001,2024-01-18,2024/1/24
2.657,2.2740,5,0.0001,2024-01-19,2024/1/24
2.657,2.2820,2,0.0001,2024-01-22,2024/1/24
2.657,2.2610,1,0.0001,2024-01-23,2024/1/24
2.657,2.2580,0,0.0001,2024-01-24,2024/1/24
