,Unnamed: 0,标的物,月份,行权价,期权价格,剩余天数
0,0,50etf,3,2.411,0.0622,20
1,1,50etf,3,2.46,0.0321,20
2,2,50etf,3,2.51,0.0147,20
3,3,50etf,3,2.559,0.0058,20
 5,5,50etf,3,2.657,0.0012,20
6,6,50etf,3,2.706,0.001,20
7,7,50etf,3,2.756,0.0007,20
8,8,50etf,3,2.805,0.0007,20
9,42,50etf,3,2.854,0.0004,20
10,43,50etf,3,2.903,0.0003,20
11,47,50etf,3,2.362,0.1002,20
12,51,50etf,3,2.313,0.144,20
13,56,50etf,3,2.214,0.2403,20
14,57,50etf,3,2.264,0.1924,20
27,115,50etf,3,2.3,0.1585,20
28,116,50etf,3,2.35,0.1121,20
29,117,50etf,3,2.4,0.0695,20
30,118,50etf,3,2.45,0.0371,20
31,119,50etf,3,2.5,0.0176,20
32,120,50etf,3,2.55,0.007,20
33,121,50etf,3,2.6,0.0028,20
34,122,50etf,3,2.65,0.0012,20
35,123,50etf,3,2.25,0.2052,20
36,124,50etf,3,2.3,0.1585,20
37,125,50etf,3,2.35,0.1121,20
38,126,50etf,3,2.4,0.0695,20
39,127,50etf,3,2.45,0.0371,20
40,128,50etf,3,2.5,0.0176,20
41,129,50etf,3,2.55,0.007,20
42,130,50etf,3,2.6,0.0028,20
43,131,50etf,3,2.65,0.0012,20
53,141,50etf,3,2.2,0.2553,20
55,144,50etf,3,2.15,0.304,20
57,146,50etf,3,2.1,0.3528,20
59,150,50etf,3,2.05,0.4053,20
84,320,50etf,3,2.7,0.0008,20
